extracted_text,uid,wiki_link,article_title,topic
"הארגון מפעיל מספר תוכניות:

HackDays/HackNights - (ימי קידוד\ערבי קידוד) המפגש מתחיל בהיכרות קצרה, כ",ec694fbd-2f0b-497a-bbf2-33d1a764519f,https://he.wikipedia.org/wiki/She_codes;,She codes;,Technology
"גלגלי השיניים הפלנטריים וגלגל השמש נושקים, כך שהשפות שלהם מתגלגלות ללא החלקה. נקודה על השפה של גלגל ",87d1dfa4-7cbc-4698-bf77-7c230a03b630,https://he.wikipedia.org/wiki/גלגלי_שיניים_אפיציקליים,גלגלי שיניים אפיציקליים,Technology
"דימות תרמי (ידוע גם כרישום חום, הדמאה תרמית, תרמוגרפיה או תרמוגרפיית תת-אדום) הוא תחום מדעי פיזיקלי ",c566b6a0-289e-4bdc-863e-80e313bd8ed0,https://he.wikipedia.org/wiki/דימות_תרמי,דימות תרמי,Technology
"הצבע ירוק בקבוק הוא גוון ירוק כהה, בו צבועים בקבוקי בירה מסוימים. בקבוקי בירה אחרים וכן בקבוקי חומץ ",b3a1d19c-d030-4391-8cb1-e1f2907b3aa5,https://he.wikipedia.org/wiki/בקבוק,בקבוק,Technology
"בתכנון של קווים בזרימה דו-פאזית משתדלים למנוע מצב כזה.
הלם כתוצאה מרתיחה מהירה כאשר נוצר מגע בין גז ",e3f86c0f-0f24-48f1-89cd-d64604cc3bd6,https://he.wikipedia.org/wiki/הלם_מים,הלם מים,Technology
"במקרה של המדע, מדובר במכלול האמונות המדעיות של הקהילה המדעית כולה. וילארד קוויין טען לגישה קוהרנטציס",a4f9536d-7f3c-40e3-a46d-7adc0d86faf0,https://he.wikipedia.org/wiki/פילוסופיה_של_המדע,פילוסופיה של המדע,Science
"מאחר שבמקרים רבים גזים אינם מתנהגים כגז אידיאלי, גם לחוק זה נמצאו שיפורים עם השנים, למשל גז ואן-דר-ו",1e82bb76-2bb4-4b25-8c23-562049347b3f,https://he.wikipedia.org/wiki/חוק_טבע,חוק טבע,Science
המתמטיקה היא שיטה לוגית אחידה המחברת תצפיות לתוצאות ניסויים ולתאוריה המסבירה אותם. אחרים טוענים שהיא,713eda79-099d-41da-aa4b-5a8ef2a521fc,https://he.wikipedia.org/wiki/מדע,מדע,Science
"כך לדוגמה
פתולוגיה של צמחים (פיטופתולוגיה) שהיא תחום מחקר יישומי שנועד לחקור ולמונע מחלות בצמחים, נה",12f9f79c-e763-4fea-af56-c2870289dbf6,https://he.wikipedia.org/wiki/מדע_שימושי,מדע שימושי,Science
"ישנם גם פילוסופים המדגישים את חוסר האחדות של המדע, מה שלא אומר בהכרח שלא יכולה להיות אחדות במובן מסו",87f1d453-dc82-4e16-8302-692afe524bb3,https://he.wikipedia.org/wiki/אחדות_המדע,אחדות המדע,Science
"מחקר קודם הציע כי שיפור ופיתוח סיבולת בקרב אתלטים מאומנים יכול להיעשות באמצעות שיטת ה-HIIT.
מחקר שער",7c8b073c-5e90-407d-b7b1-f443885dfd6b,https://he.wikipedia.org/wiki/HIIT,HIIT,Sports
"אנרי השני, מלך צרפת, הוא אחד הקורבנות המפורסמים של הטורניר. הוא נהרג בשוגג כאשר חנית שבורה חדרה בטעו",6706762e-cf56-4cf8-bd17-865cd1bf647b,https://he.wikipedia.org/wiki/טורניר,טורניר,Sports
ההיסטוריה של הספורט ראשיתה בפרה היסטוריה והמשכה עד היום. ספורט נחשב לפיתוח ואימון של מיומנויות אנושי,0a10849a-1645-4417-acfc-217fc09aaf32,https://he.wikipedia.org/wiki/היסטוריה_של_הספורט,היסטוריה של הספורט,Sports
ספורטאים הגבוהים במימד המוחצנות ופתיחות מחשבתית שהראו יותר שליטה רגשית דיווחו על שימוש באסטרטגיות ממ,e964c731-5ae2-41c1-b3e9-020ad6ce2109,https://he.wikipedia.org/wiki/אישיות_בספורט,אישיות בספורט,Sports
"בית הדין קיבל את טענת פיפ""א וההתאחדות האירית כי הן יישמו את הכללים בנדון באופן תקין.


== קישורים חי",905b6a66-11fe-49c2-9655-634862002680,https://he.wikipedia.org/wiki/בית_הדין_לבוררות_בספורט,בית הדין לבוררות בספורט,Sports
"גם בסגנון הפוסט מודרניסטי ניתן לראות סגנון מהפכני.
לאחר שנות הסער והפרץ של תנועות האוונגרד למיניהן, ",d7457b31-0fbc-4835-ab45-bdd4bb658e33,https://he.wikipedia.org/wiki/אוונגרד,אוונגרד,Arts
"בישראל קיימים מספר הרכבים בפורמט זה ובחלקם משתתפים דביר בנדק, אבי גרייניק, דרור קרן, עידן אלתרמן, ער",9e4f4b6f-cd1e-4e17-8819-bdd5dcd6d299,https://he.wikipedia.org/wiki/אלתור,אלתור,Arts
"על-פי ההמלצה, תוכניות אלו צריכות להיבנות תוך התחשבות בדעותיהם של הילדים הנפגעים ומשפחותיהם, ולכלול מ",4669c583-b81c-4fc1-8ecd-afda57242e4b,https://he.wikipedia.org/wiki/אמנה_182_לביעור_צורות_העסקה_חמורות_של_ילדים,אמנה 182 לביעור צורות העסקה חמורות של ילדים,Arts
"אטריבוט (באנגלית: Attribute) הוא סימן המשמש לזיהוי ביצירת האמנות. אטריבוטים יכולים להופיע כצבע, חפץ,",68845084-8ea2-4de4-8fee-ef08f5bf20c2,https://he.wikipedia.org/wiki/אטריבוט_(אמנות),אטריבוט (אמנות),Arts
"משמשים בדרך כלל ליצירת מפרקים בגפיים, ראש בקצה צוואר וכדומה.
קיפול אוזן ארנב – קיפול שבו מקופלות שתי",931f0987-6156-4a7e-b62e-a2b1e902d2dc,https://he.wikipedia.org/wiki/אוריגמי,אוריגמי,Arts
"מלחין שהגשים עד תום את תדמית המלחין העצמאי הוא לודוויג ואן בטהובן, אשר נתפס כמוזיקאי ""גאון"", ותיפקד ",a918e5e0-dd4d-40db-aed3-8aef1e2493a7,https://he.wikipedia.org/wiki/מעמד_המוזיקאי_בחברה_המערבית,מעמד המוזיקאי בחברה המערבית,Music
"אולם לפעמים הסולן אינו מנגן על אף כלי (לדוגמה: דני בסן – להקת תיסלם, אנתוני קידיס – להקת רד הוט צ'יל",5e4def34-623b-4784-86b6-b3c73dc2ed2b,https://he.wikipedia.org/wiki/סולן,סולן,Music
נולדה בשנת 1866 בעיר לה קרוס במדינת ויסקונסין. הוריה של וואיט השתייכו לכנסייה האפיסקופלית באמריקה. א,d5649c40-366e-48c1-b744-b0fc63cee0f2,https://he.wikipedia.org/wiki/מוזיקה_בדת_הבהאית,מוזיקה בדת הבהאית,Music
"עם הלבריתנים הנודעים ביותר בתולדות האופרה נמנים פייטרו מטסטאזיו, לורנצו דה פונטה, פרנצ'סקו מריה פיאב",2b885901-1500-4af1-82f3-e51ad0f104bf,https://he.wikipedia.org/wiki/לברית,לברית,Music
שיר פופ יכול לצבור פופולריות בין לאומית במהלך חופשת הקיץ ועל ידי כך להפוך ללהיט הקיץ המובהק בארצות ר,ec41933f-cd0e-4a86-916f-fcc26142c638,https://he.wikipedia.org/wiki/להיט,להיט,Music
"באמנות, אקטיביזם היה מגמת אמנות ספרותית וחזותית במרכז ובמזרח אירופה בשנות העשור השני של המאה ה-20 וב",a4c9de8f-1d10-44d4-a650-49af637e7292,https://he.wikipedia.org/wiki/אקטיביזם_(אמנות),אקטיביזם (אמנות),Literature
"אונגנייאו (בקוריאנית: 웅녀; הנג'ה: 熊女, פשוט כמשמעו: אשת-דוב) היה דוב שהפך לאישה על פי מיתוס בריאת העול",03c546bf-ff1d-407e-a98d-196e4968259c,https://he.wikipedia.org/wiki/אונגנייאו,אונגנייאו,Literature
"הם הציעו את ""הגדרת פראג"" כדלקמן:

בשל הגידול המהיר בפרסום באינטרנט ובגישה למסמכים, התמקדה הספרות האפ",af1a6b7b-4529-4d51-a53c-1090553cdf12,https://he.wikipedia.org/wiki/ספרות_אפורה,ספרות אפורה,Literature
"הסיבות לכך מגוונות. חלק מהמשתתפים מדווחים כי המועדון מספק להם חברה, חיי תרבות ותחושת קהילה. מעבר לקב",02427a31-a0e8-4b0b-841f-8c8550610f99,https://he.wikipedia.org/wiki/מועדון_קריאה,מועדון קריאה,Literature
"לדיקציה יש השפעה גם על בחירת מילים ותחביר.
דיקציה לרוב נקבעת על ידי סטנדרטים רווחים של כתיבה ודיבור ",1dbbbd96-4c66-4e4d-ae96-33adce678e9b,https://he.wikipedia.org/wiki/דיקציה,דיקציה,Literature
"ביוני 2018, חוף קו פי פי, שהתפרסם באמצעות סרטו של דני בויל משנת 2000 ""החוף"", נסגר ללא הגבלת זמן, כדי",468f9b43-ff76-4f42-88ae-8074e1351cdc,https://he.wikipedia.org/wiki/Setjetting,Setjetting,Cinema
השימוש בכיסא זה בעת החדשה התחדש בשנת 1892 כאשר חברת רהיטי גולד מדל קמפ (Gold Medal Camp Furniture co,9680c0a4-eec5-4d0e-813d-110c35d27d2a,https://he.wikipedia.org/wiki/כיסא_במאים,כיסא במאים,Cinema
FIAPF (באנגלית: International Federation of Film Producers Associations) הוא ארגון המורכב מ-36 אגודו,58571e2f-33f7-4cec-9393-dffa24138766,https://he.wikipedia.org/wiki/FIAPF,FIAPF,Cinema
"בארצות הברית יצר ווינסור מקקיי סדרות הנפשה שהיו מבוססות על גיבורי טוריו השבועיים ב""ניו יורק הראלד"", ",9a03ad96-7c3a-4264-acf5-b7dd63f13654,https://he.wikipedia.org/wiki/ראינוע,ראינוע,Cinema
"ניתן לראות את סדרות הקולנוע גם כ״סדרות סרטים של סרטים קצרים״.
לרוב שודר פרק בסדרת קולנוע לפני או אחר",aebfb385-4ada-4619-a49c-a880356970be,https://he.wikipedia.org/wiki/סדרת_קולנוע,סדרת קולנוע,Cinema
"אחד מאתגרי ההיסטוריון, בעשותו את מלאכת הכתיבה ההיסטורית, הוא להבחין בין הרצף והמסורת לבין התמורה והמ",6f8f54f5-fd19-4687-ae24-c810ded5c9c3,https://he.wikipedia.org/wiki/היסטוריה,היסטוריה,History
"תנועות אלה יצאו למלחמות עקובות מדם נגד השלטונות הקיימים ונגד מתנגדיהן, חוללו מהפכות, ולעיתים הפעילו ",35959a40-458c-41e2-9b07-480f059eb9a7,https://he.wikipedia.org/wiki/אידאולוגיה,אידאולוגיה,History
"גֵּנֵאָלוֹגְיָה, או בעברית חקר יוחסין, היא מדע עזר בהיסטוריה ואנתרופולוגיה לחקר ההקשר הגנטי של קבוצת",7b5887fe-3983-497a-aa87-1d70c40fe6af,https://he.wikipedia.org/wiki/גנאלוגיה,גנאלוגיה,History
עם התפשטות הגישה ההיסטורית האמפירית שהיא מבוססת מקורות על ידי אסכולת ההיסטוריה של גטינגן בסוף המאה ה,65391332-16c2-44a1-b4bf-5ab670cb88c0,https://he.wikipedia.org/wiki/מדעי_עזר_בהיסטוריה,מדעי עזר בהיסטוריה,History
"מקור שמה ב-""ספרי השנים"" (לטינית: Annales, ""אנאלים"") הקדומים.


== התפתחותה של האסכולה ==


=== דור ר",73ff4fae-7081-4c50-b9eb-de43b58b11d6,https://he.wikipedia.org/wiki/אסכולת_האנאל,אסכולת האנאל,History
"הן מורכבות משילוב של מולקולה שחציה הידרופילית וחציה הידרופובית, הממברנות התוך תאיות מבוססות על שתי ש",1a4ca35e-69cc-4479-be65-4e067673cc00,https://he.wikipedia.org/wiki/הידרופיליות,הידרופיליות,Biology
"לדוגמה, במדעי הרפואה, ללא הבנה זו היה זה על סף הבלתי אפשרי להבין את השפעתן של תופעות כימיות ופיזיות ",4bb709ef-50be-440f-8655-c7141ea87ea5,https://he.wikipedia.org/wiki/ארגון_ביולוגי,ארגון ביולוגי,Biology
ישנם מינים שהשוני ביניהם קטן יותר מהשוני בין כל אחד מהם למין אחר. הדמיון הזה מתפרש כקרבה אבולוציונית,46943008-f8f4-464e-bd82-36d4ca07e295,https://he.wikipedia.org/wiki/ביולוגיה,ביולוגיה,Biology
"חומרים ותהליכים אנדוגניים הם אלה שמקורם במערכת חיה כגון אורגניזם, רקמה או תא.
לעומת זאת חומרים ותהלי",603955e2-9959-4c40-b3ca-17d359c42046,https://he.wikipedia.org/wiki/אנדוגני_(ביולוגיה),אנדוגני (ביולוגיה),Biology
"במקום לעצב ממשקים רגילים, ענפי המחקר השונים מתמקדים במושגים של מולטי-מודאליות על פני חד-מודאליות, ממ",8a9e3bbb-8f34-4659-9017-b89f89a8ec24,https://he.wikipedia.org/wiki/אינטראקציה,אינטראקציה,Biology
"PubChem הוא בסיס נתונים כימי ענק המכיל גם מידע אודות ההשפעות הביולוגיות של החומרים על אורגניזמים.
המ",d8e3de8f-4a1f-4f10-88e5-f0d6ffa457b1,https://he.wikipedia.org/wiki/PubChem,PubChem,Chemistry
על ידי קבוצת מרק והיא שימשה בעיקר כקטלוג לחומרים הכימיים הרבים שהחברה מכרה. שנתיים לאחר מכן הוקמה לק,7fda2e77-102c-4c15-b1a7-5a182db544fe,https://he.wikipedia.org/wiki/אינדקס_מרק,אינדקס מרק,Chemistry
בשנים האחרונות תחום זה משפיע במיוחד על הכימיה הקוונטית. החל מסוף מלחמת העולם השנייה התפתחות המחשבים,934b8181-a159-4d32-87c5-05ac6bc059bb,https://he.wikipedia.org/wiki/כימיה,כימיה,Chemistry
"בשנת 1929 הציע ז'אנה את ""טבלת הצעד השמאלי"" (Left-Step Periodic Table), שסידרה את היסודות לפי סדר מיל",e484962a-de5c-40f2-92a1-b67e51ff1d31,https://he.wikipedia.org/wiki/בלוק_(כימיה),בלוק (כימיה),Chemistry
"חומרים כאלה נקראים לעיתים קרובות באנגלית סמי מעצבים ובישראל מכונים ""סמי פיצוציות"". מסיבה זו, ארצות ה",37b901eb-15bd-44a9-b5c2-f64dc2976a27,https://he.wikipedia.org/wiki/אנלוג_מבני,אנלוג מבני,Chemistry
"באפקט זה, האור מחמם חומר מוליך או מוליך למחצה. החימום יוצר הבדלי טמפרטורה בתוך החומר או בין חומרים ש",68988af2-03c9-4ce5-81fb-d0109c4ddaf0,https://he.wikipedia.org/wiki/האפקט_הפוטו-וולטאי,האפקט הפוטו-וולטאי,Physics
"מספרי קסם נובעים מתופעות קוונטיות, הקשורות למילוי של רמות קוונטיות - או לתופעות גאומטריות הקשורות לס",fdd33698-57cc-4a42-8bdf-9258e4dcce1b,https://he.wikipedia.org/wiki/מספר_קסם_(מדע),מספר קסם (מדע),Physics
"על כן, מבחינה מתמטית נהוג למדל את המרחב הפיזיקלי כמרחב האוקלידי 
  
    
      
         
        
 ",49032937-ff02-4233-b3ba-ad5a6d5bbd7b,https://he.wikipedia.org/wiki/מרחב_תלת-ממדי,מרחב תלת-ממדי,Physics
בתיאוריה תמך גם גליליאו גליליי בתחילת המאה השבע עשרה. הוא הופתע מכך שהמים לא יכלו לעלות מעל לנקודה מ,020d33b8-fbc2-4223-83b7-38bff1bac9ff,https://he.wikipedia.org/wiki/אימת_הריק_(פיזיקה),אימת הריק (פיזיקה),Physics
"בעומק זה יוצר עמוד המים לחץ של 1,086 בר, שהם כ-1,071.8 אטמוספירות. השקע נוצר כתוצאה מהתנגשות של הלוח",c21209d1-6a60-4a65-8a06-d47bfbcf7a72,https://he.wikipedia.org/wiki/חקר_מעמקי_הים,חקר מעמקי הים,Physics
התחום עשוי להיות סופי (למשל 10 שניות של מדידה) או אינסופי. הפונקציה עצמה לא צריכה להיות רציפה. לעומת,e519cbab-cd15-406f-93c7-fa549589652e,https://he.wikipedia.org/wiki/זמן_בדיד_וזמן_רציף,זמן בדיד וזמן רציף,Mathematics
"כתוצאה מכך התפתח תחום רחב של מחקר, הכולל מושגים, תאוריות, שיטות, ארגונים לאומיים ובינלאומיים, כנסים ",c4ddcff2-b243-40b1-ad28-f579fcd0e7e3,https://he.wikipedia.org/wiki/הוראת_המתמטיקה,הוראת המתמטיקה,Mathematics
"בדרך כלל, מוצג ציר המספרים כקו אופקי, כאשר הנקודות שמימין לנקודת ה-0 מתארות מספרים חיוביים והנקודות ",a05017fd-e29f-4e4b-9f0f-c93e3488139f,https://he.wikipedia.org/wiki/ציר_המספרים,ציר המספרים,Mathematics
"מטא-מתמטיקה (או מטאמתמטיקה) הוא המחקר של המתמטיקה עצמה על ידי כלים מתמטיים, דבר המוביל למטא-תאוריות,",8f9d954f-9a3a-4638-aaad-268bcc12f2a4,https://he.wikipedia.org/wiki/מטא-מתמטיקה,מטא-מתמטיקה,Mathematics
"סה""כ, ישראל זכתה ב-EGMO ב-2 מדליות זהב, 8 מדליות כסף, 2 מדליות ארד ו-3 ציונים לשבח.


== מבוגרי התוכ",769eeba8-507e-4ebf-adb5-75768592da0a,https://he.wikipedia.org/wiki/נבחרת_ישראל_במתמטיקה,נבחרת ישראל במתמטיקה,Mathematics
"אינסוף הוא העדר גבול בהמשכיותו של עצם או נתון מוגדר. הוא מונח מצוי בפילוסופיה, תאולוגיה ומתמטיקה. הע",51b0e03c-fd7a-452c-ab52-2266372f55c4,https://he.wikipedia.org/wiki/אינסוף_(פילוסופיה),אינסוף (פילוסופיה),Philosophy
"באתיקה, יׇשְׁרָה (בלועזית: אינטגריטי) היא כנות ואמיתות או הקפדה על הפעולות הננקטות. יושרה יכולה להיח",58023d58-00b9-454d-8e29-85f023f54df6,https://he.wikipedia.org/wiki/יושרה,יושרה,Philosophy
"אנטי - נגד, תזה - עמדה) היא ניגוד ישיר או הפך מדויק למשהו. לדוגמה: גיהנום אנטיתזה לגן עדן; אי-סדר אנ",0afd9610-62fb-46c0-a595-f6eef986b0b3,https://he.wikipedia.org/wiki/אנטיתזה,אנטיתזה,Philosophy
"דייוויד יום הראה שכל הנחות היסוד שלנו למעשה מבוססות על הניסיון, ושלל כך את תקפותן של הנחות אלו. כלומ",ef0649e1-c512-4ed4-9ef1-c99e405c47fe,https://he.wikipedia.org/wiki/אם_עץ_נופל_ביער,אם עץ נופל ביער,Philosophy
"הוא הוצג בלטינית בספרו ""עקרונות הפילוסופיה"" שיצא לאור ב-1644.
בשנת 1641, בספרו הגיונות על הפילוסופיה",3cbc4d13-7363-442b-b871-4df2787420df,"https://he.wikipedia.org/wiki/אני_חושב,_משמע_אני_קיים","אני חושב, משמע אני קיים",Philosophy
"לעומת זאת, טען ג'יימס, אנשים הנוטים לחוויות דתיות ""חולניות"" לא מסוגלים להתעלם מהרוע ומהסבל שבעולם, ו",e14d534c-5168-4c38-aa36-65afb08c37bf,https://he.wikipedia.org/wiki/החוויה_הדתית_לסוגיה,החוויה הדתית לסוגיה,Religion
"ulango או simbahan בטאגאלוג; tangpap, pangkew, או alalot (עבור מזבחות גג קטנים שונים), balaua או kal",ba982cde-ce13-49a4-801c-75b163b52016,https://he.wikipedia.org/wiki/בית_רוח,בית רוח,Religion
"מעמדן כרקדניות, מוזיקאיות ובנות לוויה היה חלק בלתי נפרד מפולחן המקדש. לאחר שהפכו לדוואדאסיות, הנשים ",2b2e8814-a99a-4eea-a63f-8a7b660e6897,https://he.wikipedia.org/wiki/היירוגמיה,היירוגמיה,Religion
כשנפתח זרם חדש יש ביקורת מהצד השמרני למה לא נכון לשנות ממה שהיה מקובל ומנגד מצד התנועה החדשה למה יש,8474da56-6b45-4f85-97dc-5fab6608235f,https://he.wikipedia.org/wiki/ביקורת_על_היהדות,ביקורת על היהדות,Religion
"דת היא התארגנות חברתית או תרבותית הכוללת מערכת של אמונות או השקפות עולם, אשר בדרך כלל מקשרות את מאמי",0c753d7a-33a6-45f0-9c9b-c99a31eaf552,https://he.wikipedia.org/wiki/דת,דת,Religion
"הדמוניזציה של ""האחר"" משמשת כדי לחזק את ההרגשה של שייכות והזדהות עם הקבוצה ולקדם את התחושה של מצור חב",80efc0a1-aac1-4567-a56e-94f6540b4970,https://he.wikipedia.org/wiki/חברה_סגורה,חברה סגורה,Society
"על כן, כדי שמדינה תוכל לפעול באופן דמוקרטי, הכרחי שיתקיים דיון ציבורי ותתגבש דעת קהל ביקורתית שתוכל ",24883d01-eb94-4129-afbe-a95bf51e756e,https://he.wikipedia.org/wiki/הספרה_הציבורית,הספרה הציבורית,Society
"בתרבויות שונות נהוג שצד שלישי יוזם את הדייט – גורם אשר עשוי להיות בן משפחה, מכר או שדכן מקצועי. בשני",67177255-fa4c-40a1-8fac-66a61870c43d,https://he.wikipedia.org/wiki/דייט,דייט,Society
"בסוף 2004 פרש יורם האפט מניהול המשרד. ביוני 2006 פרש שלמה זיו מניהול המשרד ועבר לתפקיד היושב ראש.


",08cb45d9-13e9-47e2-923d-089f4981f67b,https://he.wikipedia.org/wiki/BDO,BDO,Society
"כוכב אדום (1908, רוסית: Красная звезда), רומן מדע בדיוני מאת אלכסנדר בוגדנוב על חברה קומוניסטית במאד",1f7edd56-1b82-455b-a0b7-e43c2264e09c,https://he.wikipedia.org/wiki/חברה_קומוניסטית,חברה קומוניסטית,Society
"
הסוג השני מתקיים כאשר שתי מדינות או יותר מתאמות שערי חליפין קבועים ומדיניות מוניטרית אחידה, אך אינן",39639fe4-199b-4c4d-a7ba-1f667868c58f,https://he.wikipedia.org/wiki/איחוד_מוניטרי,איחוד מוניטרי,Economy
"כתוצאה מכך החלה תקופת המיתון מ-1965 שגרם להעמקת האבטלה עד ל-10% מכלל המועסקים, ובעקבות כך הקטנת העלי",a6383106-f09b-46fd-935b-6a155c9e4c02,https://he.wikipedia.org/wiki/אבטלה,אבטלה,Economy
מכרה יהלומים הוא אוצר טבע המספק את המשאב יהלום גולמי. מעבדים אותו בחיתוך וליטוש כדי להפכו למוצר סופי,e4e56c42-0286-470a-81e9-82205920b092,https://he.wikipedia.org/wiki/אוצר_טבע,אוצר טבע,Economy
"כלומר, רווח נמוך מדי לעומת טרחה רבה מדי, לדעת אותם כלכלנים.
בנוסף, דיון ציבורי בסוגיות חשובות עלול ל",2979c5f0-deac-474d-963b-b9e09d63fb4b,https://he.wikipedia.org/wiki/אפליה_כלכלית,אפליה כלכלית,Economy
בפסק הדין נדון מקרה בו קבלן סירב למכור לזוג ממוצא ערבי דירה בפרויקט חדש שנבנה על קרקע שהוקצתה על ידי,122ba71d-e097-4910-99a6-82eedc762c79,https://he.wikipedia.org/wiki/אפליה_קניינית,אפליה קניינית,Economy
הוא דן בכך בהקשר של מבצעי ההפצצה הבריטיים על ערים גרמניות בשנים 1942–1940. לדבריו:“ככל שניצחון גרמני,76fefe22-672a-42c9-b2c7-5adfe075acd1,https://he.wikipedia.org/wiki/בעיית_הידיים_המלוכלכות,בעיית הידיים המלוכלכות,Politics
"האמברגו הוסר בשנת 1994.


=== דרום סודאן ===
מועצת הביטחון של האו""ם הטילה אמברגו נשק על דרום סודאן ל",d2e2ec83-bc3f-45a5-b3b9-a52304909ed0,https://he.wikipedia.org/wiki/אמברגו_נשק,אמברגו נשק,Politics
אגודת איסלנד-פלסטין נוסדה ב-29 בנובמבר 1987 כשמטרותיה המוצהרות הן חיזוק הידידות והקשרים בין האיסלנדי,be56a7d3-f29f-44c7-a30a-9c0047f3f1f1,https://he.wikipedia.org/wiki/אגודת_איסלנד-פלסטין,אגודת איסלנד-פלסטין,Politics
"אם כי דאונס טוען שגם לבוחר כזה תהא מערכת העדפות מרכזית המיוצגת אצל המתחרים.
לעומת האדיש, ממוקם הבוחר",ed5ddf42-0584-4059-8308-ec94c37ccdc9,https://he.wikipedia.org/wiki/הבוחר_החציוני,הבוחר החציוני,Politics
"עם זאת, ג'ון רולס מגן על התאוריה לפיה תפיסת הצדק הפוליטית מבוססת בסופו של דבר על טובת הכלל של הפרט ו",5d3e516e-2e8c-4b98-aab7-75901dec6cca,https://he.wikipedia.org/wiki/אתיקה_פוליטית,אתיקה פוליטית,Politics
הן מכונות תגובת שרשרת של פולימראז בזמן אמת אימונוקוונטיטטיביות (immunoquantitative PCR -iqPCR) הסמן,39fa6c73-0fb6-4704-b108-2aa396986704,https://he.wikipedia.org/wiki/אימונואסיי,אימונואסיי,Medicine
"כך, פצוע תאונת דרכים עשוי להיות מועבר מהמחלקה לרפואה דחופה לחדר הניתוח, ממנו ליחידה לטיפול נמרץ ומשם",11319934-944d-47f9-b8e5-3cda00fe3d6a,https://he.wikipedia.org/wiki/אשפוז,אשפוז,Medicine
"המחקר שלו הוביל לזיהוי ""העיקרים של קוך"" – ארבעה קריטריונים שנועדו לקבוע קשר סיבתי בין גורם מיקרוביאל",445aff7a-5b52-4d06-982c-db44fc7d21e4,https://he.wikipedia.org/wiki/רפואה,רפואה,Medicine
"את הבקשה להוספיס בית ניתן להעביר לרופא המשפחה או לצוות המחלקה בבית החולים.


== ראו גם ==
ביטוח בריא",e6f62968-2464-4ecd-9367-6674f1f19953,https://he.wikipedia.org/wiki/אשפוז_בית,אשפוז בית,Medicine
"גן זה, או לפחות גן הדומה לו מאוד בהרכבו, מצוי גם בבעלי חיים מפותחים יותר, לרבות ב-DNA האנושי. 
במהלך",bb85d0d8-f370-4a29-aeed-65e4b1610981,https://he.wikipedia.org/wiki/DAF-2,DAF-2,Medicine
תכונה זו מופעלת בסדרה של רמזורים (על פי רוב שלושה או יותר) הנמצאים על ציר נסיעה. תכונת הגל הירוק מיו,d9fe6675-dfbc-4f59-b844-ae93aac2fefb,https://he.wikipedia.org/wiki/גל_ירוק,גל ירוק,Transportation
"  
בישראל קיימים נכון לשנת 2009 רק ששה אזורי שירות, כולם לצד כביש 6 - שניים ליד נען, שניים ליד להבות",886ae274-8660-4cec-8734-385c34c40c81,https://he.wikipedia.org/wiki/אזור_שירות,אזור שירות,Transportation
תחבורה היא העברה של אנשים וסחורה ממקום אחד למקום אחר על ידי אמצעי תחבורה. ישנם אמצעי תחבורה אוויריים,7e121651-0207-4807-842a-2639fa452442,https://he.wikipedia.org/wiki/תחבורה,תחבורה,Transportation
חברות רבות משתמשות בשיטות אלו מכיוון שכך הן חוסכות בהוצאות תחזוקה ובעלות על מטוסים שאין לחברה צורך ב,7fed3621-ab3b-4108-95e9-2e414765fdf9,https://he.wikipedia.org/wiki/חברת_תעופה,חברת תעופה,Transportation
"בזמנים קדומים התחבורה באמצעות נהרות הייתה קלה לאין שיעור לעומת התנועה בדרכים[דרוש מקור], בהתחשב בעלו",48360aa4-49e2-4dda-9fa8-88349065a3a5,https://he.wikipedia.org/wiki/דרך,דרך,Transportation